DPA_DESPRO,DPA_DESPAR,DPA_PROVIN,Estimado de volumen de credito
GUAYAS,Recinto La Estacada,9,0
GUAYAS,Recinto Paraíso,9,0
GUAYAS,Recinto Santa Rosa,9,0
GUAYAS,Recinto La Providencia Sector Villao,9,0
GUAYAS,Recinto Villao Sector San Pedro,9,0
GUAYAS,Valle de la Virgen,9,0
GUAYAS,"Isidro Ayora,  Recinto La Chonta",9,0
GUAYAS,Valle de la Virgen,9,0
GUAYAS,Valle de la Virgen,9,0
GUAYAS,Santa Lucia ,9,0
GUAYAS,Santa Lucia,9,0
GUAYAS,Valle de la Virgen ,9,0
GUAYAS,Valle de la Virgen,9,0
GUAYAS,"Santa Lucia,",9,0
GUAYAS,Santa Lucia ,9,0
GUAYAS,Santa Lucia ,9,0
GUAYAS,Comuna Engabao ,9,0
GUAYAS,Comuna Engabao ,9,0
GUAYAS,Comuna Engabao ,9,0
GUAYAS,Comuna Engabao ,9,0
IMBABURA,Quichinche,10,0
IMBABURA,Pataquí,10,3000
IMBABURA,Pataquí,10,0
IMBABURA,Pataqui,10,0
IMBABURA,Quichinche,10,3000
IMBABURA,Sigsipamba,10,0
IMBABURA,Sigsipamba,10,0
IMBABURA,Quichinche,10,1500
IMBABURA,La Esperanza,10,1000
IMBABURA,La Esperanza,10,600
IMBABURA,Quichinche,10,5000
IMBABURA,La Esperanza,10,1200
IMBABURA,Quichinche,10,4000
IMBABURA,San Francisco de Sigsipamba,10,10000
IMBABURA,Quichinche,10,3000
IMBABURA,La Esperanza,10,0
IMBABURA,La Esperanza,10,0
IMBABURA,La Esperanza ,10,0
IMBABURA,Quichinche,10,0
IMBABURA,La Esperanza,10,0
IMBABURA,La Esperanza,10,0
IMBABURA,Quichicnhe,10,5000
IMBABURA,Buenos Aires,10,0
IMBABURA,Buenos Aires,10,20000
IMBABURA,Buenos Aires,10,0
IMBABURA,Buenos Aires,10,4000
IMBABURA,La Esperanza,10,2000
IMBABURA,Sigsipamba,10,0
IMBABURA,Pataqui,10,0
LOJA,Changaimina,11,4400
LOJA,Purunuma,11,6000
LOJA,Nambacola,11,10000
LOJA,Nambacola,11,3000
LOJA,Changaimina,11,0
LOJA,Changaimina,11,0
LOJA,Changaimina,11,5000
LOJA,Purunuma,11,0
LOJA,Purunuma,11,5000
LOJA,Purunuma,11,5000
LOJA,Nambacola,11,5000
LOJA,Changaimina ,11,0
LOJA,Nambacola ,11,0
LOJA,Purunuma,11,0
LOJA,Purunuma,11,0
LOJA,Changaimina ,11,0
LOJA,Changaimina,11,5000
LOJA,Nambacola ,11,0
LOJA,Nambacola,11,1500
LOJA,Nambacola,11,8000
LOJA,Purunuma,11,0
LOJA,Changaimina ,11,0
LOJA,Sacapalca,11,17000
LOJA,Sacapalca ,11,0
LOJA,Sacapalca,11,11000
LOJA,Changaimina,11,0
LOJA,Purunuma,11,0
LOJA,Sacapalca,11,3000
LOJA,Nambacola ,11,0
LOJA,Purunuma,11,35000
MANABI,Flavio Alfaro,13,0
MANABI,Flavio Alfaro,13,0
MANABI,Flavio Alfaro,13,3000
MANABI,Flavio Alfaro,13,0
MANABI,Flavio Alfaro,13,0
MANABI,Flavio Alfaro,13,15000
MANABI,Eloy Alfaro,13,0
MANABI,Eloy Alfaro,13,4000
MANABI,Convento ,13,5000
MANABI,Convento ,13,3000
MANABI,Convento ,13,5000
MANABI,Convento,13,15000
MANABI,Flavio Alfaro,13,0
MANABI,Convento,13,7000
MANABI,Eloy Alfaro,13,15000
MANABI,Eloy Alfaro,13,0
MANABI,Eloy Alfaro ,13,0
MANABI,Convento ,13,0
MANABI,Eloy Alfaro,13,8000
MANABI,Convento ,13,5000
MANABI,Convento,13,0
MANABI,Convento ,13,3000
MANABI,Convento ,13,10000
MANABI,Eloy Alfaro,13,15000
MANABI,Eloy Alfaro ,13,15000
MORONA SANTIAGO,Chiguinda ,14,0
MORONA SANTIAGO,El Rosario,14,0
MORONA SANTIAGO,Santa Susana de Chiviaza,14,0
MORONA SANTIAGO,General Plaza,14,0
MORONA SANTIAGO,Huamboya,14,0
MORONA SANTIAGO,Huamboya,14,10000
MORONA SANTIAGO,Huamboya,14,10000
MORONA SANTIAGO,El Rosario,14,0
MORONA SANTIAGO,Chiviaza,14,8000
MORONA SANTIAGO,Flor del bosque ,14,0
MORONA SANTIAGO,Chiguinda ,14,0
MORONA SANTIAGO,San Isidro ,14,10000
MORONA SANTIAGO,Pablo Sexto,14,0
MORONA SANTIAGO,Pablo Sexto ,14,10000
MORONA SANTIAGO,Sinai ,14,8000
MORONA SANTIAGO,Chiguaza,14,0
MORONA SANTIAGO,Chiguaza ,14,0
MORONA SANTIAGO,Sevilla Don Bosco,14,0
MORONA SANTIAGO,Sevilla Don Bosco,14,10000
MORONA SANTIAGO,16 de Agosto,14,0
MORONA SANTIAGO,16 de Agosto,14,0
MORONA SANTIAGO,16 de Agosto,14,0
MORONA SANTIAGO,Macas,14,0
NAPO,Gonzalo Díaz de Pineda,15,0
NAPO,Gonzalo Díaz de Pineda,15,5000
NAPO,Gonzalo Díaz de Pineda,15,0
NAPO,Gonzalo Díaz de Pineda,15,5000
NAPO,Papallacta,15,1500
NAPO,Papallacta,15,10000
NAPO,Cotundo,15,7000
NAPO,Cotundo,15,17000
NAPO,Papallacta,15,25000
NAPO,Cotundo ,15,20000
NAPO,Cotundo,15,10000
NAPO,San Francisco de Borja,15,0
NAPO,Carlos Julio Arosemena Tola ,15,0
NAPO,Carlos Julio Arosemena Tola,15,6000
NAPO,Carlos Julio Arosemena Tola ,15,7000
NAPO,Carlos Julio Arosemena Tola,15,0
NAPO,Carlos Julio Arosemena Tola,15,0
NAPO,San Francisco de Borja,15,0
NAPO,San Francisco de Borja,15,20000
NAPO,San Francisco de Borja,15,20000
NAPO,Cotundo,15,5000
NAPO,Papallacta,15,0
NAPO,Cotundo,15,0
NAPO,Cotundo,15,0
NAPO,Cotundo,15,20000
NAPO,Cotundo,15,9800
NAPO,Cotundo,15,0
NAPO,San Francisco de Borja ,15,20000
NAPO,Gonzalo Díaz de Pineda,15,0
NAPO,Papallacta,15,0
SANTA ELENA,Manglaralto,24,0
SANTA ELENA,Manglaralto,24,0
SANTA ELENA,Manglaralto,24,0
SANTA ELENA,Manglaralto,24,0
SANTA ELENA,Manglaralto,24,10000
SANTA ELENA,Manglaralto,24,0
SANTA ELENA,Colonche,24,0
SANTA ELENA,Colonche,24,0
SANTA ELENA,Colonche,24,0
SANTA ELENA,Colonche,24,0
SANTA ELENA,Colonche,24,0
SANTA ELENA,Colonche,24,0
SANTA ELENA,Colonche-Comuna Las Balsas,24,0
SANTA ELENA,Manglaralto,24,10500
GUAYAS,Minimo,9,0
GUAYAS,Maximo,9,35000
IMBABURA,Minimo,10,0
IMBABURA,Maximo,10,35000
LOJA,Minimo,11,0
LOJA,Maximo,11,35000
MANABI,Minimo,13,0
MANABI,Maximo,13,35000
MORONA SANTIAGO,Minimo,14,0
MORONA SANTIAGO,Maximo,14,35000
NAPO,Minimo,15,0
NAPO,Maximo,15,35000
SANTA ELENA,Minimo,24,0
SANTA ELENA,Maximo,24,35000
