DPA_DESPRO,DPA_DESCAN,DPA_DESPAR,DPA_PARROQ,"ACTUAL
CDD","ACTUAL
SPI","ACTUAL
Amenaz Tendencia Heladas_parr","ACTUAL
Amenaza Tendencia Lluvias_parr","ACTUAL
Tendencia OlasCalor_parr","ACTUAL
Indice multiamenaza",Exposicion pasto (%),Cabezas de ganado parroquia,Productores parroquia,Indice de tenencia (numero de cabezas de ganado/numero de productores).,Numero socios MAG-MIES-SEPS,Numero de productores,Indice de asociatividad (numero de socios/numero de productores),capacidad de uso de la tierra_parr (SEN1),Degradacion_parr,UBAS,PASTOS,CULT. ASOC,Defor_2014_2016,Indi_ heladas_CIIFEN,Porc_inund,Conflicto gente fauna,% Poblacion migrante masc,% poblacion dedicada a agri y gan. ,Nivel de pobreza por consumo,Tasa de dependencia por edad,Tasa de analfabetismo funcional,Deficit habitacional cualitativo,Deficit de servicios residenciales basicos,Numero de empleados remunerados,Numero de asociaciones MAG-MIES-SEPS,Grado de organizacion (numero de empleados remunerados)/numero de asociaciones,Capacidad de gestion (% ejecucion presupuesto anual),Infraestructura multiproposito_riego,Porc_riego,Porc_Cobert_Nat,Indice de red hidrica,Presencia de sociobosque (%),Pend_parr,Indice de red vial,Herramientas de planificacion CC,Cobertura movil por parroquia,Estimado de volumen de credito,Sistemas productivos pecuarios,Disponibilidad de pronostico del clima,Existencia de camales  vacas/mes,Existencia de CAB,Existencia de CAL capacidad litros,Red monitoreo hidrometeorologico,UMVMAG,Velocidad Infiltracion
GUAYAS,GUAYAQUIL,GUAYAQUIL,90150,0,-0.559,0,0.548930396,0.597753337,922.7142,2.2,8960,341,26.276,75,91,0.82,1.93,2.5,2252,5341.22,0,7719.64,0,49.97,0,2.26,1.53,13.97,526,8.9,37.1,43.6,3,5,0.6,0.84,0,0.29,51.03,1344,0,0,361.4969,3,1.83,9847377.03,0,1,6566,0,0,15,5,0.44
GUAYAS,GUAYAQUIL,JUAN_GOMEZ_RENDON_(PROGRESO),90152,0.013455128,-0.407,0,0.485828068,0.682693871,27.4485,1.46,35,3,11.667,0,3,0,0,2.5,35,470.25,0,1777.46,0,13.22,0,0.29,25.7,19.74,673,16.2,47.7,99.1,0,0,0,0.34,0,8.78,70.08,109,0,5,136.01,3,0.98,858904.11,0,1,0,0,0,6,5,0.01
GUAYAS,GUAYAQUIL,MORRO,90153,0.099682051,-0.488,0,0.423489672,0.682666091,187.7633,0.04,314,18,17.444,18,18,1,0,2.5,314,11.72,300,681.33,0,46.78,0,0.19,46.3,25.69,685,22.5,51.9,90.1,0,1,0,1,0,25.96,56.06,135,0,0,48.5665,3,0.34,652788.18,0,1,0,0,0,2,5,0.6
GUAYAS,GUAYAQUIL,POSORJA,90156,0,-0.511,0,0.38250255,0.682672254,0,0,0,0,0,0,0,0,0,2.5,0,0,0,13.28,0,30.14,0,0.61,21.5,21.39,683,17.8,46.2,71.8,0,0,0,1,0,0,64.57,25,0,0,7.97,3,0.92,1457732.56,0,1,102,0,0,0,5,1.48
GUAYAS,GUAYAQUIL,PUNA,90157,0,-0.535,0,0.341515428,0.682678418,65.2286,0.47,132,2,66,2,2,1,5.83,2.5,132,415.5,0,1377.18,0,36.41,0,0.36,60.09,26.17,712,31.3,45,99.4,3,1,3,0.74,0,0,73.32,290,8.4313,0,249.995,3,0,1142617.35,0,1,0,0,0,1,5,0.65
GUAYAS,GUAYAQUIL,TENGUEL,90158,0,-0.488,0,0.479551326,0.682740693,577.6,14.91,1444,31,46.581,0,31,0,64.42,2.5,1444,2069.89,0,14.69,0,58.27,0,0.96,60.65,18.99,664,19.3,46.9,85,0,0,0,1,0,0,3.36,57,0,0,47.6002,3,1.97,2033591.47,3,1,0,0,0,2,5,0.57
GUAYAS,ALFREDO_BAQUERIZO_MORENO,ALFREDO_BAQUERIZO_MORENO_(JUJAN),90250,0,-0.511,0,1.099283607,0.597811654,626.0286,4.68,1534,103,14.893,16,103,0.16,0,2.5,1534,1023.95,500,0,0,100,0,0.5,52.55,36.12,656,18.8,40.9,99.3,2,1,2,0.84,0,6.73,0.16,71,0,0,110.1149,2,4.27,2213.28,0,1,0,0,0,0,5,0.15
GUAYAS,BALAO,BALAO,90350,0,-0.507,0,0.508538623,0.597757,5820.4571,23.89,14489,74,195.797,0,74,0,52.31,2.5,14489,9773.76,4800,14.34,0,40.96,0,1.11,63.35,33.56,633,21.7,49,98.3,0,0,0,0.84,0,0,1.66,256,0,6,73.6,2,8.07,1106.64,3,1,159,0,0,2,5,1.64
GUAYAS,BALZAR,BALZAR,90450,0,-0.621,0,1.729814232,0.59780208,17917.6857,39.94,44701,1386,32.252,259,1386,0.19,19.1,2.5,44701,47427.36,0,104.85,0,13.01,0,1.51,46.89,42.45,710,27.4,41.9,88,12,7,1.71,0.84,0,0,13.19,672,0,3,768.3,2,13.68,502749.99,3,1,287,1,9000,2,5,0.05
GUAYAS,COLIMES,COLIMES,90550,0,-0.601,0,1.264925378,0.597782805,6483.7142,13.06,16085,682,23.585,113,682,0.17,0,2.5,16085,7114.4,8700,323.33,0,24.03,0,0.38,59.84,44.37,725,30.1,36.2,91.4,4,5,0.8,0.84,0,2.11,27.77,261,0,10,349.5,2,8.31,228760.43,2,1,194,0,0,2,5,0
